Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;ul./Al./Pl./;Ulica;Numer domu;Numer lokalu;Nazwa Organizatora /Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum
664;Muzeum Witrażu;31-111;Kraków;Aleja;Krasińskiego;23;;Krakowski zakład Witrażów S.G. Żeleński Sp. z o.o.;;Utworzone przez osoby prawne
665;Muzeum Wydziału Nauk o Ziemi Uniwersytetu Śląskiego w Katowicach;41-200;Sosnowiec;ul.;Będzińska;60;;Uniwersytet Śląski w Katowicach ;;Utworzone przez osoby prawne
666;Muzeum Zamek w Rydzynie (w organizacji);64-130;Rydzyna;pl.;Zamkowy;1;;Stowarzyszenie Inżynierów i Techników Mechaników Polskich z siedzibą w Warszawie ;;Utworzone przez osoby prawne
667;Muzeum-Zamek w Baranowie Sandomierskim;39-450;Baranów Sandomierski;ul.;Zamkowa;20;;Agencja Rozwoju Przemysłu S.A. w Warszawie;;Utworzone przez osoby prawne
668;Muzeum Zamku w Chudowie;44-177;Paniówki;ul.;Podzamcze;6 (Chudów);;Fundacja ,,Zamek Chudów”;;Utworzone przez osoby prawne
669;Muzeum-Zespół Zamkowy w Niedzicy;34-441;Niedzica;ul.;Niedzica-Zamek;1;;Stowarzyszenie Historyków Sztuki;;Utworzone przez osoby prawne
670;Muzeum Ziem Nadbużańskich – Zespół Pałacowy Ossolińskich Sterdyń  (w organizacji);08-320;Sterdyń;ul.;Kościelna;43;;Fundacja Patriotyzm i Niepodległość Naszych Ziem ;;Utworzone przez osoby prawne
671;Muzeum Żołnierzy Wyklętych i Więźniów Politycznych PRL;02-521;Warszawa;ul.;Rakowiecka;37a;;Muzeum działa w strukturze organizacyjnej Centralnego Zarządu Służby Więziennej ;;Utworzone przez osoby prawne
672;Muzeum Żywej Historii (w organizacji);72-010;Police;ul.;Usługowa;1a;;"Stowarzyszenie Historyczne ""549""";;Utworzone przez osoby prawne
673;Ośrodek Dokumentacji i Historii Ziemi Żmigrodzkiej - Muzeum im. Leona Karcińskiego w Nowym Żmigrodzie                                                                                                   (w organizacji);38-230;Nowy Żmigród;ul.;Dukielska;1;;Towarzystwo Miłośników Nowego Żmigrodu;;Utworzone przez osoby prawne
674;Pałuckie Muzeum Techniki Wojskowej i Uzbrojenia w Kowalewku;89-240;Kcynia Kowalewko;;;28;;Jednostka Ratownictwa Medycznego w Kowalewku ;;Utworzone przez osoby prawne
675;Pilskie Muzeum Wojskowe (w organizacji);64-920;Piła;ul.;Ludowa;60;7;Stowarzyszenie Przedmoście Piła ;;Utworzone przez osoby prawne
676;Podlaskie Muzeum Militariów w Białymstoku (w organizacji);15-740;Białystok;ul.;Antoniukowska;11;;"Stowarzyszenie Pasjonatów Historii Ziemi Podlaskiej oraz Kolekcjonerów Militariów ""Grupa Wschód""";;Utworzone przez osoby prawne
